,Name,POS,Age,HT,WT,Exp,College,team
315,Alexander Myres35,CB,24,"5' 11""",192 lbs,1,Houston,Steelers
316,Steven Nelson22,CB,27,"5' 11""",194 lbs,6,Oregon State,Steelers
317,James Pierre23,CB,23,"6' 2""",185 lbs,R,Florida Atlantic,Steelers
318,Arrion Springs33,CB,24,"5' 11""",208 lbs,1,Oregon,Steelers
319,Cameron Sutton20,CB,25,"5' 11""",188 lbs,4,Tennessee,Steelers
320,Marcus Allen27,S,23,"6' 2""",215 lbs,2,Penn State,Steelers
321,John Battle32,S,25,"6' 0""",201 lbs,1,LSU,Steelers
322,Antoine Brooks Jr.25,S,22,"5' 11""",215 lbs,R,Maryland,Steelers
323,Jordan Dangerfield37,S,29,"5' 11""",199 lbs,4,Towson,Steelers
324,Terrell Edmunds34,S,23,"6' 1""",217 lbs,3,Virginia Tech,Steelers
325,Minkah Fitzpatrick39,S,23,"6' 1""",207 lbs,3,Alabama,Steelers
326,Tyree Kinnel29,S,23,"5' 11""",210 lbs,1,Michigan,Steelers
327,Tray Matthews46,S,25,"6' 1""",213 lbs,1,Auburn,Steelers
328,Brandon Dunn92,NT,27,"6' 2""",310 lbs,5,Louisville,Texans
