PlayerID,Salary
Montravius Adams90,671000
Armon Watts96,670000
Dexter Williams22,670000
Marcus Epps37,670000
Rasul Douglas32,670000
Jonnu Smith81,669000
Trey Hendrickson91,668000
James Conner30,668000
Brandon Parker75,666152
Lorenzo Carter59,665613
Sam Beal23,665559
Chad Thomas92,665000
Justin Reid20,664979
B.J. Hill95,664345
Fred Warner54,663137
Royce Freeman28,661000
Mason Rudolph2,658267
Nathan Shepherd97,656000
Jerome Baker55,654000
Ty Summers44,652500
Jamal Adams33,645000
Treyvon Hester,645000
Corey Clement30,645000
Al-Quadin Muhammad97,645000
Jacob Hollister48,645000
Ross Travis43,645000
Dede Westbrook12,645000
Rashaad Coward69,645000
Trey Edmunds33,645000
Mike Purcell98,645000
Arthur Maulet23,645000
Joe Walker59,645000
Julie'n Davenport70,645000
Marquel Lee52,645000
Mike Hilton28,645000
Alex Ellis85,645000
Tarik Cohen29,645000
Eli Ankou91,645000
Ryan Glasgow98,645000
DeAndrew White18,645000
Kareem Hunt27,645000
Danny Isidora65,645000
Brian Hill23,645000
Chuck Clark36,645000
Matt Haack2,645000
Corey Davis84,645000
Jake Elliott4,645000
Justin Hardee34,645000
Josh Reynolds83,645000
Zach Wood49,645000
Jaleel Johnson94,645000
Patrick Mahomes15,645000
Tanner Vallejo51,645000
Jamaal Williams30,645000
Jesse Davis77,645000
Cody Hollister16,645000
Jaydon Mickens85,645000
Aldrick Rosas2,645000
D.J. Jones93,645000
Eddie Jackson39,645000
Kalif Raymond14,645000
Vince Biegel47,645000
Ben Gedeon42,645000
Adam Butler70,645000
Tony McRae29,645000
Joey Hunt53,645000
De'Vante Bausby41,645000
Justin McCray65,645000
Keelan Cole84,645000
J.D. McKissic41,645000
Xavier Woods25,645000
Shalom Luani42,645000
Davon Godchaux56,645000
David Moore83,645000
Jayon Brown55,645000
Eric Saubert43,645000
Nate Hairston21,645000
Jermaine Eluemunor65,645000
Aviante Collins76,645000
Elijhaa Penny39,645000
Juston Burris31,645000
Patrick Ricard42,645000
Grover Stewart90,645000
Josh Ferguson36,645000
Elijah Lee47,645000
Corn Elder29,645000
Lucas Patrick62,645000
Mack Hollins86,645000
Samaje Perine,645000
Harrison Butker7,645000
George Kittle85,645000
Carl Lawson58,645000
Vincent Taylor96,645000
Brandon Wilson40,645000
Antony Auclair82,645000
Erik Magnuson62,645000
Aaron Jones33,645000
D.J. Foster37,645000
Darrell Daniels81,645000
Devin Smith15,645000
Conor McDermott69,645000
Blake Jarwin89,645000
Trevon Coley93,645000
T.J. Logan22,645000
David Sharpe72,645000
Chris Carson32,645000
