,Name,"('Unnamed: 0_level_0', 'GP')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'SCKYDS')","('Sacks', 'TFL')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Fumbles', 'FF')","('Fumbles', 'FR')","('Fumbles', 'FTD')","('Unnamed: 15_level_0', 'KB')",class,team
199,Chuck Clark S,9,14,1,15,0.0,0,1.0,2,0,0,0,0,0,0,0,0,Defense,Ravens
200,Chuck Clark S,16,12,2,14,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
201,Chuck Clark S,7,7,7,14,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
202,Chuck Clark S,5,11,2,13,0.0,0,3.0,0,0,0,0,0,1,0,0,0,Defense,Ravens
203,Chuck Clark S,15,6,4,10,0.0,0,2.0,0,0,0,0,0,1,0,0,0,Defense,Ravens
204,Chuck Clark S,16,8,1,9,1.0,10,2.0,1,0,0,0,0,1,0,0,1,Defense,Ravens
205,Chuck Clark S,11,3,4,7,1.0,8,1.0,0,0,0,0,0,0,2,0,0,Defense,Ravens
206,Chuck Clark S,6,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
207,Chuck Clark S,6,6,0,6,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Ravens
208,Chuck Clark S,4,2,4,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
209,Chuck Clark S,7,4,2,6,0.0,0,0.0,0,0,0,0,0,0,1,0,0,Defense,Ravens
210,Chuck Clark S,8,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
211,Chuck Clark S,9,4,1,5,0.0,0,0.0,0,0,0,0,0,0,1,1,0,Defense,Ravens
212,Chuck Clark S,4,2,3,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
213,Chuck Clark S,8,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
