,Name,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
9311,A.J. Cann,"6' 3""",20%,325 lbs,80%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26 reps,55%,NaN,NaN,NaN,NaN
9313,Laken Tomlinson,"6' 3""",20%,312 lbs,47%,5.33 sec,48%,4.87 sec,35%,8.17 sec,4%,31.5 in,91%,103 in,70%,25 reps,50%,NaN,NaN,NaN,NaN
9314,Rob Havenstein,"6' 8""",93%,330 lbs,88%,5.46 sec,19%,4.87 sec,32%,8.28 sec,1%,28.5 in,60%,96 in,20%,16 reps,7%,NaN,NaN,NaN,NaN
9315,Donovan Smith,"6' 6""",60%,338 lbs,93%,5.27 sec,52%,4.79 sec,46%,7.95 sec,20%,32.0 in,90%,109 in,75%,26 reps,55%,NaN,NaN,NaN,NaN
9316,Ali Marpet,"6' 4""",40%,307 lbs,25%,4.98 sec,96%,4.47 sec,92%,7.33 sec,98%,30.5 in,87%,108 in,85%,30 reps,80%,NaN,NaN,NaN,NaN
9317,Mitch Morse,"6' 6""",100%,305 lbs,62%,5.14 sec,77%,4.50 sec,84%,7.60 sec,90%,31.0 in,83%,112 in,98%,36 reps,93%,NaN,NaN,NaN,NaN
9318,Hroniss Grasu,"6' 3""",30%,301 lbs,30%,5.01 sec,88%,4.20 sec,98%,7.84 sec,37%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9319,Ty Sambrailo,"6' 5""",20%,311 lbs,40%,5.36 sec,34%,4.58 sec,83%,7.54 sec,67%,29.0 in,65%,97 in,23%,23 reps,40%,NaN,NaN,NaN,NaN
9320,Mark Glowinski,"6' 4""",40%,310 lbs,40%,5.20 sec,72%,4.58 sec,84%,7.56 sec,92%,29.5 in,80%,113 in,95%,31 reps,83%,NaN,NaN,NaN,NaN
9321,Jamon Brown,"6' 4""",40%,340 lbs,92%,5.09 sec,87%,4.70 sec,63%,7.36 sec,97%,28.0 in,65%,103 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
9322,Chaz Green,"6' 5""",70%,318 lbs,63%,5.16 sec,77%,4.70 sec,63%,8.00 sec,19%,29.5 in,80%,106 in,78%,21 reps,20%,NaN,NaN,NaN,NaN
9323,Max Garcia,"6' 4""",40%,309 lbs,35%,5.13 sec,80%,NaN,NaN,8.18 sec,3%,28.0 in,65%,103 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
9326,Tyrus Thompson,"6' 5""",20%,330 lbs,88%,NaN,NaN,4.92 sec,26%,NaN,NaN,29.0 in,65%,97 in,23%,29 reps,80%,NaN,NaN,NaN,NaN
9327,John Miller,"6' 3""",20%,315 lbs,55%,5.33 sec,48%,4.75 sec,56%,8.20 sec,2%,27.0 in,55%,104 in,73%,29 reps,75%,NaN,NaN,NaN,NaN
9328,Daryl Williams,"6' 6""",60%,330 lbs,88%,5.34 sec,36%,5.15 sec,5%,NaN,NaN,26.0 in,30%,97 in,23%,27 reps,60%,NaN,NaN,NaN,NaN
9329,Trent Brown,"6' 8""",93%,380 lbs,100%,5.29 sec,47%,4.78 sec,48%,8.23 sec,4%,23.5 in,10%,97 in,23%,20 reps,15%,NaN,NaN,NaN,NaN
9330,Andrew Donnal,"6' 6""",60%,305 lbs,18%,5.31 sec,40%,4.77 sec,50%,7.84 sec,35%,32.0 in,90%,101 in,45%,17 reps,8%,NaN,NaN,NaN,NaN
9331,Tayo Fabuluje,"6' 6""",60%,342 lbs,94%,5.55 sec,10%,4.77 sec,50%,NaN,NaN,29.5 in,70%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9335,Jeremiah Poutasi,"6' 5""",20%,330 lbs,88%,5.32 sec,39%,4.89 sec,29%,8.09 sec,11%,26.5 in,35%,95 in,15%,26 reps,55%,NaN,NaN,NaN,NaN
9336,Shaq Mason,"6' 1""",0%,310 lbs,40%,4.97 sec,97%,NaN,NaN,7.53 sec,93%,32.0 in,92%,110 in,91%,25 reps,50%,NaN,NaN,NaN,NaN
9337,Andy Gallik,"6' 2""",10%,306 lbs,20%,5.50 sec,13%,4.58 sec,84%,7.66 sec,88%,27.0 in,55%,96 in,30%,29 reps,75%,NaN,NaN,NaN,NaN
9338,Jamil Douglas,"6' 4""",40%,309 lbs,35%,5.25 sec,64%,4.75 sec,56%,7.99 sec,20%,29.0 in,75%,99 in,45%,28 reps,70%,NaN,NaN,NaN,NaN
9341,Bobby Hart,"6' 5""",20%,310 lbs,37%,5.67 sec,5%,5.07 sec,9%,8.08 sec,11%,27.0 in,40%,95 in,15%,22 reps,30%,NaN,NaN,NaN,NaN
9346,Jake Rodgers,"6' 6""",60%,320 lbs,72%,5.24 sec,57%,4.81 sec,42%,8.04 sec,14%,30.5 in,83%,106 in,65%,24 reps,45%,NaN,NaN,NaN,NaN
9350,Laurence Gibson,"6' 6""",60%,300 lbs,8%,5.04 sec,87%,4.56 sec,86%,7.72 sec,44%,33.5 in,94%,113 in,92%,24 reps,45%,NaN,NaN,NaN,NaN
9351,Leonard Williams,"6' 5""",70%,302 lbs,98%,4.97 sec,16%,4.53 sec,30%,7.59 sec,6%,29.5 in,17%,106 in,10%,NaN,NaN,NaN,NaN,NaN,NaN
9352,Shane Ray,"6' 3""",70%,245 lbs,70%,4.68 sec,58%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21 reps,40%,NaN,NaN,NaN,NaN
9353,Arik Armstead,"6' 7""",94%,292 lbs,93%,5.06 sec,7%,4.53 sec,30%,7.57 sec,6%,34.0 in,60%,117 in,60%,24 reps,50%,NaN,NaN,NaN,NaN
9354,Danny Shelton,"6' 2""",20%,345 lbs,94%,5.64 sec,2%,4.65 sec,50%,7.99 sec,9%,30.5 in,70%,95 in,6%,34 reps,83%,NaN,NaN,NaN,NaN
9355,Jordan Phillips,"6' 6""",100%,341 lbs,93%,5.17 sec,33%,4.68 sec,45%,7.88 sec,16%,30.0 in,60%,105 in,50%,28 reps,50%,NaN,NaN,NaN,NaN
9357,Carl Davis,"6' 5""",90%,320 lbs,83%,5.07 sec,57%,4.47 sec,83%,7.91 sec,14%,33.0 in,90%,103 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
9358,Jarrett Grady,"6' 1""",10%,304 lbs,47%,5.06 sec,60%,4.56 sec,68%,7.37 sec,73%,31.0 in,73%,112 in,88%,30 reps,60%,NaN,NaN,NaN,NaN
9359,Owamagbe Odighizuwa,"6' 4""",50%,264 lbs,43%,4.62 sec,91%,4.19 sec,89%,7.36 sec,22%,39.0 in,94%,127 in,93%,25 reps,60%,NaN,NaN,NaN,NaN
9360,Preston Smith,"6' 5""",95%,265 lbs,97%,4.74 sec,42%,4.28 sec,60%,7.07 sec,60%,34.0 in,53%,121 in,80%,24 reps,60%,NaN,NaN,NaN,NaN
9361,Nate Orchard,"6' 3""",70%,251 lbs,88%,4.80 sec,28%,4.43 sec,19%,7.28 sec,30%,31.5 in,25%,115 in,45%,NaN,NaN,NaN,NaN,NaN,NaN
9362,Danielle Hunter,"6' 5""",70%,252 lbs,13%,4.57 sec,93%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25 reps,60%,NaN,NaN,NaN,NaN
9363,Marcus Hardison,"6' 3""",40%,310 lbs,70%,4.91 sec,87%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27 reps,40%,NaN,NaN,NaN,NaN
9364,Bobby Richardson,"6' 3""",40%,286 lbs,9%,5.16 sec,34%,4.41 sec,91%,7.57 sec,42%,32.5 in,85%,106 in,55%,NaN,NaN,NaN,NaN,NaN,NaN
9365,Gabe Wright,"6' 3""",40%,305 lbs,50%,5.07 sec,57%,4.56 sec,68%,7.73 sec,25%,26.5 in,25%,100 in,20%,34 reps,83%,NaN,NaN,NaN,NaN
9366,Frank Clark,"6' 3""",20%,260 lbs,28%,4.79 sec,60%,4.05 sec,95%,7.08 sec,77%,38.5 in,93%,118 in,70%,19 reps,15%,NaN,NaN,NaN,NaN
9367,Trey Flowers,"6' 2""",10%,265 lbs,47%,4.93 sec,24%,4.40 sec,55%,7.34 sec,25%,36.5 in,87%,121 in,85%,28 reps,80%,NaN,NaN,NaN,NaN
9368,Henry Anderson,"6' 6""",90%,301 lbs,97%,4.97 sec,16%,4.19 sec,89%,7.20 sec,43%,30.0 in,20%,111 in,30%,NaN,NaN,9.75 in,30%,33.50 in,43%
9369,Tyeler Davison,"6' 2""",20%,309 lbs,67%,5.18 sec,31%,4.46 sec,85%,7.53 sec,46%,33.0 in,90%,105 in,50%,32 reps,75%,NaN,NaN,NaN,NaN
9371,Xavier Cooper,"6' 4""",50%,300 lbs,97%,4.86 sec,40%,4.37 sec,65%,7.23 sec,38%,29.0 in,13%,110 in,25%,29 reps,83%,NaN,NaN,NaN,NaN
9372,Za'Darius Smith,"6' 4""",90%,272 lbs,100%,4.83 sec,24%,4.66 sec,4%,7.42 sec,11%,29.0 in,8%,113 in,30%,23 reps,50%,NaN,NaN,NaN,NaN
9373,Markus Golden,"6' 3""",70%,260 lbs,94%,4.90 sec,10%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9374,Darius Philon,"6' 1""",0%,286 lbs,90%,5.00 sec,10%,NaN,NaN,8.00 sec,0%,31.0 in,30%,107 in,13%,26 reps,70%,NaN,NaN,NaN,NaN
9375,Anthony Chickillo,"6' 3""",70%,255 lbs,92%,4.79 sec,29%,4.25 sec,65%,7.17 sec,48%,34.5 in,57%,114 in,40%,27 reps,80%,NaN,NaN,NaN,NaN
9377,Christian Covington,"6' 2""",10%,305 lbs,99%,4.89 sec,33%,4.43 sec,47%,7.43 sec,14%,30.5 in,25%,111 in,30%,24 reps,50%,NaN,NaN,NaN,NaN
9378,Derrick Lott,"6' 4""",60%,305 lbs,50%,4.99 sec,75%,4.44 sec,88%,7.30 sec,81%,26.5 in,25%,106 in,55%,30 reps,60%,NaN,NaN,NaN,NaN
9379,Leterrius Walton,"6' 5""",70%,305 lbs,99%,5.25 sec,0%,4.78 sec,9%,7.91 sec,0%,27.0 in,6%,103 in,3%,25 reps,60%,NaN,NaN,NaN,NaN
9380,Obum Gwacham,"6' 5""",70%,246 lbs,8%,4.72 sec,75%,4.28 sec,82%,7.28 sec,32%,36.0 in,83%,121 in,85%,22 reps,40%,NaN,NaN,NaN,NaN
9381,Louis Trinca-Pasat,"6' 1""",10%,300 lbs,30%,4.96 sec,81%,4.30 sec,94%,7.40 sec,70%,32.0 in,80%,105 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
9382,Geneo Grissom,"6' 4""",50%,265 lbs,47%,4.81 sec,53%,4.38 sec,62%,7.24 sec,37%,37.0 in,90%,117 in,60%,20 reps,20%,NaN,NaN,NaN,NaN
9383,Rakeem Nunez-Roches,"6' 2""",10%,307 lbs,100%,5.02 sec,9%,4.69 sec,16%,7.67 sec,3%,34.0 in,60%,114 in,47%,26 reps,70%,NaN,NaN,NaN,NaN
9384,Zack Wagenmann,"6' 3""",70%,250 lbs,86%,4.81 sec,26%,4.26 sec,63%,7.07 sec,60%,37.5 in,83%,109 in,10%,14 reps,6%,NaN,NaN,NaN,NaN
9387,Cedric Reed,"6' 5""",70%,269 lbs,58%,4.89 sec,33%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22 reps,40%,NaN,NaN,NaN,NaN
9389,B.J. Dubose,"6' 4""",50%,284 lbs,89%,5.06 sec,7%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26 reps,70%,NaN,NaN,NaN,NaN
9393,Dante Fowler,"6' 3""",20%,255 lbs,18%,4.60 sec,92%,4.32 sec,77%,7.40 sec,18%,32.5 in,45%,112 in,40%,19 reps,15%,NaN,NaN,NaN,NaN
9394,Eli Harold,"6' 3""",20%,255 lbs,18%,4.60 sec,92%,4.16 sec,91%,7.07 sec,80%,35.0 in,75%,123 in,91%,NaN,NaN,NaN,NaN,NaN,NaN
9395,Bud Dupree,"6' 4""",90%,269 lbs,99%,4.56 sec,87%,NaN,NaN,NaN,NaN,42.0 in,95%,138 in,100%,NaN,NaN,NaN,NaN,NaN,NaN
9396,Paul Dawson,"6' 0""",7%,240 lbs,40%,4.93 sec,8%,4.49 sec,12%,NaN,NaN,28.0 in,6%,109 in,10%,21 reps,40%,NaN,NaN,NaN,NaN
9397,Eric Kendricks,"6' 0""",7%,232 lbs,14%,4.61 sec,77%,NaN,NaN,NaN,NaN,38.0 in,85%,124 in,90%,19 reps,20%,NaN,NaN,NaN,NaN
9398,Benardrick McKinney,"6' 4""",90%,257 lbs,93%,4.66 sec,63%,4.27 sec,62%,7.21 sec,40%,40.5 in,92%,121 in,80%,16 reps,9%,NaN,NaN,NaN,NaN
9399,Stephone Anthony,"6' 3""",70%,245 lbs,70%,4.56 sec,87%,4.03 sec,94%,7.07 sec,60%,37.0 in,80%,122 in,83%,23 reps,50%,NaN,NaN,NaN,NaN
9400,Denzel Perryman,"5' 11""",3%,240 lbs,40%,4.78 sec,30%,NaN,NaN,NaN,NaN,32.0 in,30%,113 in,30%,27 reps,80%,NaN,NaN,NaN,NaN
9401,Hau'oli Kikaha,"6' 3""",70%,246 lbs,75%,4.93 sec,8%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9402,Lorenzo Mauldin,"6' 4""",90%,259 lbs,94%,4.85 sec,21%,4.58 sec,7%,7.47 sec,7%,32.0 in,30%,112 in,25%,23 reps,50%,NaN,NaN,NaN,NaN
9403,Kyle Emanuel,"6' 3""",70%,250 lbs,86%,4.77 sec,33%,4.25 sec,65%,7.10 sec,57%,34.0 in,53%,120 in,75%,27 reps,80%,NaN,NaN,NaN,NaN
9404,Kwon Alexander,"6' 1""",10%,227 lbs,8%,4.55 sec,88%,4.20 sec,75%,7.14 sec,52%,36.0 in,70%,121 in,80%,24 reps,60%,NaN,NaN,NaN,NaN
9405,Ramik Wilson,"6' 2""",50%,238 lbs,33%,4.77 sec,33%,4.51 sec,10%,NaN,NaN,35.0 in,60%,111 in,20%,23 reps,50%,NaN,NaN,NaN,NaN
9407,Davis Tull,"6' 3""",70%,240 lbs,40%,4.57 sec,85%,NaN,NaN,NaN,NaN,42.5 in,95%,132 in,98%,26 reps,75%,NaN,NaN,NaN,NaN
9409,Max Valles,"6' 4""",50%,250 lbs,10%,4.83 sec,48%,4.37 sec,65%,7.59 sec,6%,36.5 in,87%,121 in,85%,NaN,NaN,NaN,NaN,NaN,NaN
9411,Jake Ryan,"6' 2""",50%,240 lbs,40%,4.65 sec,67%,4.20 sec,75%,7.11 sec,56%,34.5 in,57%,120 in,75%,20 reps,30%,NaN,NaN,NaN,NaN
9412,Alani Fua,"6' 5""",95%,234 lbs,18%,4.73 sec,45%,4.15 sec,84%,6.83 sec,93%,34.5 in,57%,18 in,0%,118 reps,100%,NaN,NaN,NaN,NaN
9413,Martrell Spaight,"6' 0""",7%,243 lbs,60%,4.81 sec,26%,NaN,NaN,7.66 sec,0%,35.0 in,60%,120 in,75%,25 reps,70%,NaN,NaN,NaN,NaN
9414,Ben Heeney,"6' 0""",7%,230 lbs,10%,4.59 sec,82%,4.00 sec,96%,6.68 sec,100%,33.5 in,50%,120 in,75%,19 reps,20%,NaN,NaN,NaN,NaN
9415,Hayes Pullard,"6' 0""",7%,240 lbs,40%,4.78 sec,30%,4.39 sec,28%,7.07 sec,60%,31.0 in,20%,110 in,15%,19 reps,20%,NaN,NaN,NaN,NaN
9416,Amarlo Herrera,"6' 1""",10%,249 lbs,84%,4.83 sec,24%,4.27 sec,62%,7.35 sec,21%,32.0 in,30%,111 in,20%,23 reps,50%,NaN,NaN,NaN,NaN
9417,Mike Hull,"6' 0""",7%,232 lbs,14%,4.68 sec,58%,4.15 sec,84%,6.99 sec,76%,NaN,NaN,NaN,NaN,31 reps,92%,NaN,NaN,NaN,NaN
9418,Damien Wilson,"6' 0""",7%,245 lbs,70%,4.77 sec,33%,4.20 sec,75%,7.21 sec,40%,37.0 in,80%,119 in,70%,22 reps,45%,NaN,NaN,NaN,NaN
9421,J.R. Tavai,"6' 2""",50%,249 lbs,84%,4.91 sec,9%,NaN,NaN,NaN,NaN,30.5 in,15%,112 in,25%,20 reps,30%,NaN,NaN,NaN,NaN
9422,Deiontrez Mount,"6' 5""",95%,253 lbs,91%,4.62 sec,75%,4.31 sec,48%,7.09 sec,58%,31.0 in,20%,119 in,70%,28 reps,85%,NaN,NaN,NaN,NaN
9426,Bryce Hager,"6' 1""",10%,237 lbs,30%,4.60 sec,80%,4.36 sec,35%,7.15 sec,51%,35.0 in,60%,117 in,55%,26 reps,75%,NaN,NaN,NaN,NaN
9427,Zack Hodges,"6' 3""",70%,246 lbs,75%,4.68 sec,58%,4.65 sec,4%,NaN,NaN,33.5 in,50%,125 in,91%,NaN,NaN,NaN,NaN,NaN,NaN
9429,Mark Nzeocha,"6' 3""",70%,240 lbs,40%,4.56 sec,87%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24 reps,60%,NaN,NaN,NaN,NaN
9430,Derron Smith,"5' 10""",10%,195 lbs,8%,4.61 sec,35%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9431,Damarious Randall,"5' 11""",20%,196 lbs,9%,4.46 sec,84%,4.07 sec,90%,6.83 sec,67%,38.0 in,80%,120 in,50%,14 reps,20%,NaN,NaN,NaN,NaN
9433,Anthony Harris,"6' 1""",40%,202 lbs,20%,4.56 sec,53%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9434,Adrian Amos,"6' 0""",35%,214 lbs,73%,4.56 sec,53%,4.03 sec,92%,7.09 sec,15%,35.5 in,50%,122 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
9435,Kurtis Drummond,"6' 1""",40%,200 lbs,16%,4.65 sec,20%,4.33 sec,22%,7.09 sec,15%,39.5 in,90%,119 in,40%,NaN,NaN,NaN,NaN,NaN,NaN
9437,Donald Celiscar,"5' 11""",20%,194 lbs,8%,4.62 sec,32%,NaN,NaN,NaN,NaN,NaN,NaN,120 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
9438,Gerod Holliman,"5' 10""",10%,218 lbs,84%,4.62 sec,32%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17 reps,50%,9.50 in,70%,NaN,NaN
9439,Cody Prewitt,"6' 2""",80%,208 lbs,43%,4.60 sec,38%,4.23 sec,45%,7.12 sec,10%,35.0 in,45%,125 in,83%,11 reps,8%,NaN,NaN,NaN,NaN
9440,Ladarius Gunter,"6' 2""",93%,201 lbs,84%,4.62 sec,12%,4.41 sec,9%,7.18 sec,6%,33.5 in,20%,108 in,0%,12 reps,20%,NaN,NaN,NaN,NaN
9441,James Sample,"6' 2""",80%,217 lbs,82%,4.56 sec,53%,NaN,NaN,7.04 sec,25%,32.5 in,20%,123 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
9442,Kyshoen Jarrett,"5' 10""",20%,200 lbs,82%,4.57 sec,22%,4.40 sec,9%,6.95 sec,27%,33.0 in,17%,109 in,2%,21 reps,91%,9.75 in,90%,31.00 in,30%
9443,Jordan Richards,"5' 11""",20%,210 lbs,50%,4.65 sec,20%,4.22 sec,48%,6.74 sec,82%,32.0 in,15%,111 in,8%,13 reps,15%,9.37 in,60%,32.50 in,70%
9444,Detrick Bonner,"6' 0""",35%,207 lbs,40%,4.56 sec,53%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15 reps,30%,NaN,NaN,NaN,NaN
9445,Durell Eskridge,"6' 3""",93%,207 lbs,40%,4.56 sec,53%,4.26 sec,38%,7.09 sec,15%,31.0 in,9%,117 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
9447,Tevin McDonald,"5' 11""",20%,195 lbs,8%,4.63 sec,30%,4.26 sec,38%,7.01 sec,40%,33.0 in,23%,112 in,10%,19 reps,70%,NaN,NaN,NaN,NaN
9448,Ibraheim Campbell,"5' 11""",20%,210 lbs,50%,4.52 sec,67%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23 reps,90%,NaN,NaN,NaN,NaN
9449,Jalen Collins,"6' 1""",70%,203 lbs,88%,4.48 sec,50%,4.27 sec,24%,6.77 sec,64%,36.0 in,60%,124 in,65%,NaN,NaN,NaN,NaN,NaN,NaN
9451,Marcus Peters,"6' 0""",65%,195 lbs,63%,4.53 sec,30%,4.08 sec,68%,7.08 sec,11%,37.5 in,73%,121 in,50%,17 reps,70%,NaN,NaN,NaN,NaN
9452,Ronald Darby,"5' 11""",50%,193 lbs,55%,4.38 sec,87%,4.14 sec,53%,6.94 sec,30%,41.5 in,93%,129 in,90%,12 reps,20%,NaN,NaN,NaN,NaN
9453,P.J. Williams,"6' 0""",65%,196 lbs,67%,4.57 sec,22%,4.28 sec,22%,7.08 sec,11%,40.0 in,90%,132 in,94%,12 reps,20%,NaN,NaN,NaN,NaN
9454,Quinten Rollins,"5' 11""",50%,195 lbs,63%,4.57 sec,22%,4.28 sec,22%,7.10 sec,10%,36.5 in,65%,122 in,55%,14 reps,40%,NaN,NaN,NaN,NaN
9455,Charles Gaines,"5' 10""",20%,180 lbs,9%,4.44 sec,65%,4.20 sec,40%,7.07 sec,12%,34.5 in,40%,123 in,60%,NaN,NaN,NaN,NaN,NaN,NaN
9456,Byron Jones,"6' 0""",65%,205 lbs,91%,4.43 sec,70%,3.94 sec,92%,6.78 sec,62%,44.5 in,99%,147 in,100%,NaN,NaN,10.00 in,93%,32.00 in,70%
9457,Senquez Golson,"5' 9""",10%,176 lbs,6%,4.46 sec,57%,4.20 sec,40%,6.81 sec,53%,33.5 in,20%,120 in,40%,15 reps,50%,NaN,NaN,NaN,NaN
9458,D'Joun Smith,"5' 11""",50%,193 lbs,55%,4.37 sec,90%,4.26 sec,26%,6.96 sec,23%,36.0 in,60%,124 in,65%,18 reps,80%,NaN,NaN,NaN,NaN
9459,Ifo Ekpre-Olomu,"5' 9""",10%,200 lbs,82%,4.52 sec,35%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9460,Eric Rowe,"6' 1""",40%,205 lbs,30%,4.45 sec,86%,3.97 sec,94%,6.70 sec,88%,39.0 in,87%,125 in,83%,19 reps,70%,NaN,NaN,NaN,NaN
9461,Alex Carter,"6' 0""",65%,201 lbs,84%,4.51 sec,40%,4.07 sec,70%,7.05 sec,13%,40.0 in,90%,121 in,50%,17 reps,70%,NaN,NaN,NaN,NaN
9462,Craig Mager,"5' 11""",50%,200 lbs,82%,4.44 sec,65%,4.07 sec,70%,6.83 sec,48%,38.0 in,77%,130 in,91%,17 reps,70%,NaN,NaN,NaN,NaN
9463,Steven Nelson,"5' 11""",50%,194 lbs,60%,4.49 sec,47%,4.07 sec,70%,6.88 sec,39%,34.5 in,40%,115 in,15%,19 reps,85%,9.25 in,60%,30.62 in,22%
9464,Josh Shaw,"6' 1""",40%,200 lbs,16%,4.44 sec,88%,4.12 sec,77%,7.01 sec,40%,37.5 in,75%,130 in,94%,26 reps,95%,NaN,NaN,NaN,NaN
9465,Doran Grant,"5' 10""",20%,196 lbs,67%,4.44 sec,65%,4.33 sec,15%,NaN,NaN,33.0 in,17%,116 in,20%,21 reps,91%,NaN,NaN,NaN,NaN
9466,Bobby McCain,"5' 11""",20%,192 lbs,6%,4.51 sec,70%,3.82 sec,100%,6.80 sec,69%,36.0 in,55%,130 in,94%,17 reps,50%,NaN,NaN,NaN,NaN
9467,Troy Hill,"5' 11""",50%,183 lbs,13%,4.55 sec,26%,4.21 sec,38%,6.81 sec,53%,32.5 in,13%,120 in,40%,NaN,NaN,NaN,NaN,NaN,NaN
9468,JaCorey Shepherd,"5' 11""",50%,199 lbs,80%,4.62 sec,12%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14 reps,40%,NaN,NaN,NaN,NaN
9469,Lorenzo Doss,"5' 11""",50%,185 lbs,18%,4.50 sec,43%,4.26 sec,26%,7.20 sec,5%,33.5 in,20%,115 in,15%,9 reps,9%,NaN,NaN,NaN,NaN
9470,Damian Swann,"6' 0""",65%,189 lbs,30%,4.50 sec,43%,NaN,NaN,NaN,NaN,33.0 in,17%,118 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
9472,Nick Marshall,"6' 1""",70%,206 lbs,91%,4.54 sec,28%,4.15 sec,50%,6.96 sec,23%,37.5 in,73%,124 in,65%,12 reps,20%,NaN,NaN,NaN,NaN
9474,Justin Coleman,"5' 11""",50%,190 lbs,40%,4.53 sec,30%,3.98 sec,89%,6.61 sec,89%,37.5 in,73%,124 in,65%,20 reps,90%,NaN,NaN,NaN,NaN
9476,Kevin White,"5' 10""",20%,174 lbs,4%,4.63 sec,10%,NaN,NaN,NaN,NaN,35.5 in,50%,121 in,50%,18 reps,80%,NaN,NaN,NaN,NaN
9477,Quandre Diggs,"5' 9""",5%,200 lbs,16%,4.56 sec,53%,4.15 sec,67%,7.22 sec,5%,35.5 in,50%,113 in,13%,17 reps,50%,NaN,NaN,NaN,NaN
9478,Garry Peters,"6' 0""",65%,191 lbs,45%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9479,Tray Walker,"6' 2""",93%,191 lbs,45%,4.53 sec,30%,4.30 sec,19%,6.80 sec,57%,32.5 in,13%,122 in,55%,NaN,NaN,NaN,NaN,NaN,NaN
9481,Dexter McDonald,"6' 1""",70%,200 lbs,82%,4.42 sec,73%,4.56 sec,5%,6.93 sec,31%,40.5 in,91%,134 in,96%,10 reps,10%,NaN,NaN,NaN,NaN
9493,Kevin Johnson,"6' 0""",65%,185 lbs,18%,4.52 sec,35%,3.89 sec,95%,6.79 sec,60%,41.5 in,93%,130 in,91%,NaN,NaN,NaN,NaN,NaN,NaN
9494,Mario Edwards,"6' 3""",40%,280 lbs,7%,4.76 sec,99%,4.55 sec,70%,7.44 sec,63%,32.5 in,85%,120 in,100%,32 reps,75%,NaN,NaN,NaN,NaN
9495,Jaquiski Tartt,"6' 1""",40%,215 lbs,77%,4.53 sec,63%,NaN,NaN,NaN,NaN,NaN,NaN,124 in,80%,NaN,NaN,9.88 in,90%,32.38 in,65%
9496,Jordan Hicks,"6' 1""",10%,236 lbs,25%,4.68 sec,58%,4.15 sec,84%,6.78 sec,96%,38.0 in,85%,124 in,90%,20 reps,30%,NaN,NaN,NaN,NaN
9497,Angelo Blackson,"6' 4""",50%,319 lbs,100%,5.02 sec,9%,4.57 sec,27%,7.50 sec,9%,31.0 in,30%,101 in,0%,20 reps,20%,NaN,NaN,NaN,NaN
9498,Clayton Geathers,"6' 2""",80%,220 lbs,88%,4.55 sec,57%,4.27 sec,36%,7.21 sec,6%,37.0 in,70%,120 in,50%,22 reps,85%,9.13 in,30%,31.63 in,47%
9499,Rodney Gunter,"6' 5""",90%,305 lbs,50%,5.00 sec,72%,4.75 sec,30%,7.40 sec,70%,27.0 in,30%,115 in,94%,20 reps,7%,NaN,NaN,NaN,NaN
9500,Jon Feliciano,"6' 4""",40%,325 lbs,80%,5.33 sec,48%,4.74 sec,57%,NaN,NaN,26.5 in,50%,97 in,35%,NaN,NaN,NaN,NaN,NaN,NaN
